date|useribpt|balance|mutasi|registrasi|aktivasi|payment|login|purchase|transfer|ownacc|otheracc|domesticbank|transferidr|transfersgd|transferusd|paymentidr|purchaseidr|ownaccidr|otheraccidr|domesticbankidr|totaltxn|totalidr|totalsgd|totalusd|bln|mth
01/26/2019|636623|34202|153188|0|0|1220|0|0|0|3151|89170|0|0|0|0|26847197946.00|0.00|279033836359.00|1903189554554.00|0.00|280931|2209070588859.00|0|0|JAN2019|2019-01
01/27/2019|636623|14349|63779|0|0|290|0|0|0|1066|28524|0|0|0|0|2133088012.00|0.00|194077110052.00|739745147876.00|0.00|108008|935955345940.00|0|0|JAN2019|2019-01
01/28/2019|637018|111534|472865|0|0|7040|0|0|0|17132|219340|33171|0|0|0|414289216890.00|0.00|7766980037224.00|10364986428938.00|9891107991992.00|861082|28437363675044.00|0|0|JAN2019|2019-01
01/29/2019|637460|103440|414460|0|0|6700|0|0|0|15669|194632|27678|0|0|0|463526253632.00|0.00|7296526120636.00|9955183514812.00|9881656100220.00|762579|27596891989300.00|0|0|JAN2019|2019-01
01/30/2019|637780|103491|403673|0|0|7605|0|0|0|15805|202582|27880|0|0|0|674327383608.00|0.00|7084508561864.00|9490594699871.00|9374472668562.00|761036|26623903313905.00|0|0|JAN2019|2019-01
01/31/2019|638067|116672|452149|0|0|7917|0|0|0|17794|280898|33240|0|0|0|597460104250.00|0.00|7019318856921.00|11086869039351.00|9870527789545.00|908670|28574175790067.00|0|0|JAN2019|2019-01
02/01/2019|638530|114344|560069|0|0|6242|0|0|0|16367|274933|31703|0|0|0|272539735843.00|0.00|6429177182282.00|10017512914101.00|8648713170610.00|1003658|25367943002836.00|0|0|FEB2019|2019-02
02/02/2019|638533|38922|162122|0|0|1534|0|0|0|3788|108234|0|0|0|0|20400212739.00|0.00|343228192317.00|2216079478661.00|0.00|314600|2579707883717.00|0|0|FEB2019|2019-02
02/03/2019|638539|14638|67280|0|0|431|0|0|0|1177|29888|0|0|0|0|3419591281.00|0.00|176973222229.00|838480158158.00|0.00|113414|1018872971668.00|0|0|FEB2019|2019-02
02/04/2019|638902|95268|379783|0|0|8429|0|0|0|15501|181165|30396|0|0|0|239724555737.00|0.00|6926207271579.00|8631344109978.00|9059086925794.00|710542|24856362863088.00|0|0|FEB2019|2019-02
02/05/2019|638914|15048|58512|0|0|927|0|0|0|1559|43907|0|0|0|0|7537401907.00|0.00|172130083744.00|910524876599.00|0.00|119953|1090192362250.00|0|0|FEB2019|2019-02
02/06/2019|639193|98803|401853|0|0|13415|0|0|0|15219|179521|26226|0|0|0|300283814930.00|0.00|8051775999688.00|8438390742799.00|9098353904657.00|735037|25888804462074.00|0|0|FEB2019|2019-02
02/07/2019|639620|97653|367850|0|0|21676|0|0|0|15050|191317|26456|0|0|0|432005650376.00|0.00|6405408290978.00|8268157374791.00|9246164193190.00|720002|24351735509335.00|0|0|FEB2019|2019-02
02/08/2019|639973|106056|379887|0|0|45599|0|0|0|16050|225305|34071|0|0|0|1012247170222.00|0.00|6872186988956.00|9742252504458.00|9105556915410.00|806968|26732243579046.00|0|0|FEB2019|2019-02
02/09/2019|639985|34529|146691|0|0|7030|0|0|0|3327|90002|0|0|0|0|60218153903.00|0.00|348043862475.00|1962454147497.00|0.00|281579|2370716163875.00|0|0|FEB2019|2019-02
02/10/2019|639995|15298|63615|0|0|2589|0|0|0|1417|29882|0|0|0|0|14887253084.00|0.00|216911184667.00|714991723946.00|0.00|112801|946790161697.00|0|0|FEB2019|2019-02
02/11/2019|640356|112163|461634|0|0|29696|0|0|0|17094|198467|32586|0|0|0|704721432553.00|0.00|7967616074968.00|10310283137384.00|9780606502056.00|851640|28763227146961.00|0|0|FEB2019|2019-02
02/12/2019|640706|96892|387259|0|0|14351|0|0|0|14957|182843|26824|0|0|0|282485182537.00|0.00|6430417063165.00|9590162583675.00|8588202233649.00|723126|24891267063026.00|0|0|FEB2019|2019-02
02/13/2019|641037|92598|362639|0|0|12217|0|0|0|14586|171468|25673|0|0|0|272042451284.00|0.00|6450931382496.00|8752712449979.00|7926034415291.00|679181|23401720699050.00|0|0|FEB2019|2019-02
02/14/2019|641713|93163|358984|0|0|13247|0|0|0|14245|176473|26255|0|0|0|376892912882.00|0.00|5609906516622.00|8129657342229.00|7907788582668.00|682367|22024245354401.00|0|0|FEB2019|2019-02
02/15/2019|642123|103515|383743|0|0|19756|0|0|0|15502|230450|33675|0|0|0|583406352874.00|0.00|7668892590022.00|10454406181207.00|10221890906247.00|786641|28928596030350.00|0|0|FEB2019|2019-02
02/16/2019|642123|33470|148554|0|0|2697|0|0|0|2960|89421|0|0|0|0|41516104434.00|0.00|331945493450.00|1885892526317.00|0.00|277102|2259354124201.00|0|0|FEB2019|2019-02
02/17/2019|642122|13169|59337|0|0|930|0|0|0|1072|24166|0|0|0|0|13044267648.00|0.00|185026535374.00|668435114748.00|0.00|98674|866505917770.00|0|0|FEB2019|2019-02
02/18/2019|642518|103275|442047|0|0|15719|0|0|0|16469|187524|30505|0|0|0|409323361732.00|0.00|7349281496620.00|9765981321944.00|8894715335396.00|795539|26419301515692.00|0|0|FEB2019|2019-02
02/19/2019|642883|97249|393265|0|0|16386|0|0|0|14804|178474|26360|0|0|0|502959818470.00|0.00|7066299974960.00|9708915647195.00|9575246244880.00|726538|26853421685505.00|0|0|FEB2019|2019-02
02/20/2019|643270|96965|378838|0|0|17488|0|0|0|14888|179866|26789|0|0|0|386011778218.00|0.00|7081152705006.00|9034476967659.00|8442076054949.00|714834|24943717505832.00|0|0|FEB2019|2019-02
02/21/2019|643742|95353|370692|0|0|7021|0|0|0|14252|173835|26624|0|0|0|203843440479.00|0.00|6715094275646.00|8888758305861.00|8572760704782.00|687777|24380456726768.00|0|0|FEB2019|2019-02
02/22/2019|644164|101214|385063|0|0|6524|0|0|0|15118|204615|30772|0|0|0|296245196864.00|0.00|7238432594030.00|10180892825054.00|10863704474832.00|743306|28579275090780.00|0|0|FEB2019|2019-02
02/23/2019|644168|33462|149831|0|0|1172|0|0|0|3246|80303|0|0|0|0|22880118185.00|0.00|313355111740.00|1924883623356.00|0.00|268014|2261118853281.00|0|0|FEB2019|2019-02
02/24/2019|644173|15258|63945|0|0|496|0|0|0|1204|25613|0|0|0|0|5890952374.00|0.00|221565417118.00|710596467145.00|0.00|106516|938052836637.00|0|0|FEB2019|2019-02
02/25/2019|644505|114214|476542|0|0|7103|0|0|0|17361|229924|34817|0|0|0|405718625889.00|0.00|9521916729239.00|10765125512022.00|10895488768003.00|879961|31588249635153.00|0|0|FEB2019|2019-02
02/26/2019|644812|104399|425326|0|0|7506|0|0|0|16936|201114|29490|0|0|0|430460858271.00|0.00|7736988746195.00|10509514062079.00|9536086091911.00|784771|28213049758456.00|0|0|FEB2019|2019-02
02/27/2019|645205|107370|415019|0|0|8147|0|0|0|17183|212949|29244|0|0|0|651877372829.00|0.00|8287526555174.00|10178344258601.00|8607365720862.00|789912|27725113907466.00|0|0|FEB2019|2019-02
02/28/2019|645688|125120|469684|0|0|8541|0|0|0|19048|338306|38481|0|0|0|664480544428.00|0.00|8171678612182.00|12544823124938.00|11206465443110.00|999180|32587447724658.00|0|0|FEB2019|2019-02
03/01/2019|646091|114473|571384|0|0|5084|0|0|0|16571|289258|34167|0|0|0|147724855699.00|0.00|6835984700379.00|10296454640893.00|8948864020141.00|1030937|26229028217112.00|0|0|MAR2019|2019-03
03/02/2019|646099|37410|159313|0|0|1514|0|0|0|3467|102975|0|0|0|0|17355630665.00|0.00|275015260672.00|2146050251892.00|0.00|304679|2438421143229.00|0|0|MAR2019|2019-03
