jnstrans|date|txn|idr|bln|mth
CIRRUS MASTER NON ISIS|02/28/2019|2466|3215550000|FEB2019|2019-02
CIRRUS MASTER ISIS|02/28/2019|472|552250000|FEB2019|2019-02
VISA - LOCAL|03/01/2019|44|55550000|MAR2019|2019-03
VISA - INTERNATIONAL|03/01/2019|1550|1935450000|MAR2019|2019-03
PLUS - LOCAL|03/01/2019|162|161300000|MAR2019|2019-03
PLUS - INTERNATIONAL|03/01/2019|2581|3398550000|MAR2019|2019-03
CIRRUS MASTER NON ISIS|03/01/2019|2868|3859650000|MAR2019|2019-03
CIRRUS MASTER ISIS|03/01/2019|501|595500000|MAR2019|2019-03
VISA - LOCAL|03/02/2019|40|33250000|MAR2019|2019-03
VISA - INTERNATIONAL|03/02/2019|1443|1593950000|MAR2019|2019-03
PLUS - LOCAL|03/02/2019|194|221650000|MAR2019|2019-03
PLUS - INTERNATIONAL|03/02/2019|2630|3221150000|MAR2019|2019-03
CIRRUS MASTER NON ISIS|03/02/2019|2697|3403800000|MAR2019|2019-03
CIRRUS MASTER ISIS|03/02/2019|501|577450000|MAR2019|2019-03
VISA - LOCAL|03/03/2019|26|34950000|MAR2019|2019-03
VISA - INTERNATIONAL|03/03/2019|1384|1447800000|MAR2019|2019-03
PLUS - LOCAL|03/03/2019|141|146050000|MAR2019|2019-03
PLUS - INTERNATIONAL|03/03/2019|2366|2846750000|MAR2019|2019-03
CIRRUS MASTER NON ISIS|03/03/2019|2506|2979300000|MAR2019|2019-03
CIRRUS MASTER ISIS|03/03/2019|440|448200000|MAR2019|2019-03
VISA - LOCAL|03/04/2019|35|35950000|MAR2019|2019-03
VISA - INTERNATIONAL|03/04/2019|1517|1776150000|MAR2019|2019-03
PLUS - LOCAL|03/04/2019|193|211350000|MAR2019|2019-03
PLUS - INTERNATIONAL|03/04/2019|2701|3476450000|MAR2019|2019-03
CIRRUS MASTER NON ISIS|03/04/2019|7781|9684250000|MAR2019|2019-03
CIRRUS MASTER ISIS|03/04/2019|1495|1626100000|MAR2019|2019-03
VISA - LOCAL|03/05/2019|21|27350000|MAR2019|2019-03
VISA - INTERNATIONAL|03/05/2019|1404|1666200000|MAR2019|2019-03
PLUS - LOCAL|03/05/2019|109|114850000|MAR2019|2019-03
PLUS - INTERNATIONAL|03/05/2019|2137|2733300000|MAR2019|2019-03
CIRRUS MASTER NON ISIS|03/05/2019|2308|2963950000|MAR2019|2019-03
CIRRUS MASTER ISIS|03/05/2019|403|456800000|MAR2019|2019-03
VISA - LOCAL|03/06/2019|13|13200000|MAR2019|2019-03
VISA - INTERNATIONAL|03/06/2019|703|860350000|MAR2019|2019-03
PLUS - LOCAL|03/06/2019|33|45600000|MAR2019|2019-03
PLUS - INTERNATIONAL|03/06/2019|1198|1596350000|MAR2019|2019-03
CIRRUS MASTER NON ISIS|03/06/2019|1388|1940200000|MAR2019|2019-03
CIRRUS MASTER ISIS|03/06/2019|98|112950000|MAR2019|2019-03
VISA - LOCAL|03/07/2019|40|38200000|MAR2019|2019-03
VISA - INTERNATIONAL|03/07/2019|511|668400000|MAR2019|2019-03
PLUS - LOCAL|03/07/2019|164|153500000|MAR2019|2019-03
PLUS - INTERNATIONAL|03/07/2019|1849|2213000000|MAR2019|2019-03
CIRRUS MASTER NON ISIS|03/07/2019|1022|1447050000|MAR2019|2019-03
CIRRUS MASTER ISIS|03/07/2019|540|529350000|MAR2019|2019-03
VISA - LOCAL|03/08/2019|56|46500000|MAR2019|2019-03
VISA - INTERNATIONAL|03/08/2019|1928|2251400000|MAR2019|2019-03
PLUS - LOCAL|03/08/2019|220|223150000|MAR2019|2019-03
PLUS - INTERNATIONAL|03/08/2019|3029|3692950000|MAR2019|2019-03
CIRRUS MASTER NON ISIS|03/08/2019|4127|5358450000|MAR2019|2019-03
CIRRUS MASTER ISIS|03/08/2019|1241|1308100000|MAR2019|2019-03
VISA - LOCAL|03/09/2019|54|60700000|MAR2019|2019-03
VISA - INTERNATIONAL|03/09/2019|1575|1812700000|MAR2019|2019-03
PLUS - LOCAL|03/09/2019|220|204100000|MAR2019|2019-03
PLUS - INTERNATIONAL|03/09/2019|2587|2969300000|MAR2019|2019-03
CIRRUS MASTER NON ISIS|03/09/2019|2602|3085500000|MAR2019|2019-03
CIRRUS MASTER ISIS|03/09/2019|561|591950000|MAR2019|2019-03
VISA - LOCAL|03/10/2019|54|51700000|MAR2019|2019-03
VISA - INTERNATIONAL|03/10/2019|1468|1598300000|MAR2019|2019-03
PLUS - LOCAL|03/10/2019|194|174400000|MAR2019|2019-03
PLUS - INTERNATIONAL|03/10/2019|2320|2589000000|MAR2019|2019-03
CIRRUS MASTER NON ISIS|03/10/2019|2393|2770250000|MAR2019|2019-03
CIRRUS MASTER ISIS|03/10/2019|588|537800000|MAR2019|2019-03
VISA - LOCAL|03/11/2019|49|47100000|MAR2019|2019-03
VISA - INTERNATIONAL|03/11/2019|2170|3277750000|MAR2019|2019-03
PLUS - LOCAL|03/11/2019|235|238350000|MAR2019|2019-03
PLUS - INTERNATIONAL|03/11/2019|2706|3258900000|MAR2019|2019-03
CIRRUS MASTER NON ISIS|03/11/2019|7382|8943950000|MAR2019|2019-03
CIRRUS MASTER ISIS|03/11/2019|1787|1823000000|MAR2019|2019-03
VISA - LOCAL|03/12/2019|48|46700000|MAR2019|2019-03
VISA - INTERNATIONAL|03/12/2019|1595|2098400000|MAR2019|2019-03
PLUS - LOCAL|03/12/2019|171|172550000|MAR2019|2019-03
PLUS - INTERNATIONAL|03/12/2019|2666|3166750000|MAR2019|2019-03
CIRRUS MASTER NON ISIS|03/12/2019|2451|3183300000|MAR2019|2019-03
CIRRUS MASTER ISIS|03/12/2019|549|554300000|MAR2019|2019-03
VISA - LOCAL|03/13/2019|52|72150000|MAR2019|2019-03
VISA - INTERNATIONAL|03/13/2019|1444|1686200000|MAR2019|2019-03
PLUS - LOCAL|03/13/2019|227|235000000|MAR2019|2019-03
PLUS - INTERNATIONAL|03/13/2019|2524|3000650000|MAR2019|2019-03
CIRRUS MASTER NON ISIS|03/13/2019|2544|3163700000|MAR2019|2019-03
CIRRUS MASTER ISIS|03/13/2019|605|660200000|MAR2019|2019-03
VISA - LOCAL|03/14/2019|35|38600000|MAR2019|2019-03
VISA - INTERNATIONAL|03/14/2019|1441|1668650000|MAR2019|2019-03
PLUS - LOCAL|03/14/2019|192|190650000|MAR2019|2019-03
PLUS - INTERNATIONAL|03/14/2019|2490|2970300000|MAR2019|2019-03
CIRRUS MASTER NON ISIS|03/14/2019|2626|3415700000|MAR2019|2019-03
CIRRUS MASTER ISIS|03/14/2019|601|566300000|MAR2019|2019-03
VISA - LOCAL|03/15/2019|61|74700000|MAR2019|2019-03
VISA - INTERNATIONAL|03/15/2019|1559|1877650000|MAR2019|2019-03
PLUS - LOCAL|03/15/2019|195|175250000|MAR2019|2019-03
PLUS - INTERNATIONAL|03/15/2019|2630|3170250000|MAR2019|2019-03
CIRRUS MASTER NON ISIS|03/15/2019|2549|3300350000|MAR2019|2019-03
CIRRUS MASTER ISIS|03/15/2019|549|566750000|MAR2019|2019-03
VISA - LOCAL|03/16/2019|66|74450000|MAR2019|2019-03
VISA - INTERNATIONAL|03/16/2019|1343|1511250000|MAR2019|2019-03
PLUS - LOCAL|03/16/2019|246|248500000|MAR2019|2019-03
PLUS - INTERNATIONAL|03/16/2019|2523|2820900000|MAR2019|2019-03
CIRRUS MASTER NON ISIS|03/16/2019|2312|2800900000|MAR2019|2019-03
CIRRUS MASTER ISIS|03/16/2019|599|544800000|MAR2019|2019-03
VISA - LOCAL|03/17/2019|49|50100000|MAR2019|2019-03
VISA - INTERNATIONAL|03/17/2019|1334|1382450000|MAR2019|2019-03
PLUS - LOCAL|03/17/2019|187|166700000|MAR2019|2019-03
PLUS - INTERNATIONAL|03/17/2019|2374|2531000000|MAR2019|2019-03
CIRRUS MASTER NON ISIS|03/17/2019|2193|2432200000|MAR2019|2019-03
CIRRUS MASTER ISIS|03/17/2019|500|418850000|MAR2019|2019-03
VISA - LOCAL|03/18/2019|58|52400000|MAR2019|2019-03
VISA - INTERNATIONAL|03/18/2019|1401|1736650000|MAR2019|2019-03
PLUS - LOCAL|03/18/2019|182|156350000|MAR2019|2019-03
PLUS - INTERNATIONAL|03/18/2019|2539|2927600000|MAR2019|2019-03
CIRRUS MASTER NON ISIS|03/18/2019|6950|8209800000|MAR2019|2019-03
CIRRUS MASTER ISIS|03/18/2019|1726|1576000000|MAR2019|2019-03
VISA - LOCAL|03/19/2019|44|43300000|MAR2019|2019-03
VISA - INTERNATIONAL|03/19/2019|1358|1571400000|MAR2019|2019-03
PLUS - LOCAL|03/19/2019|193|163950000|MAR2019|2019-03
PLUS - INTERNATIONAL|03/19/2019|2473|2889850000|MAR2019|2019-03
CIRRUS MASTER NON ISIS|03/19/2019|2553|3223550000|MAR2019|2019-03
CIRRUS MASTER ISIS|03/19/2019|593|586250000|MAR2019|2019-03
VISA - LOCAL|03/20/2019|44|44250000|MAR2019|2019-03
VISA - INTERNATIONAL|03/20/2019|1511|1759600000|MAR2019|2019-03
PLUS - LOCAL|03/20/2019|243|245250000|MAR2019|2019-03
PLUS - INTERNATIONAL|03/20/2019|2391|2836050000|MAR2019|2019-03
CIRRUS MASTER NON ISIS|03/20/2019|2438|3064100000|MAR2019|2019-03
CIRRUS MASTER ISIS|03/20/2019|552|551750000|MAR2019|2019-03
VISA - LOCAL|03/21/2019|47|45350000|MAR2019|2019-03
VISA - INTERNATIONAL|03/21/2019|1484|1736800000|MAR2019|2019-03
PLUS - LOCAL|03/21/2019|154|131750000|MAR2019|2019-03
PLUS - INTERNATIONAL|03/21/2019|2364|2743950000|MAR2019|2019-03
CIRRUS MASTER NON ISIS|03/21/2019|2583|3329950000|MAR2019|2019-03
CIRRUS MASTER ISIS|03/21/2019|564|544050000|MAR2019|2019-03
VISA - LOCAL|03/22/2019|53|41100000|MAR2019|2019-03
VISA - INTERNATIONAL|03/22/2019|1581|1778150000|MAR2019|2019-03
PLUS - LOCAL|03/22/2019|192|170600000|MAR2019|2019-03
PLUS - INTERNATIONAL|03/22/2019|2585|3010150000|MAR2019|2019-03
CIRRUS MASTER NON ISIS|03/22/2019|2744|3363550000|MAR2019|2019-03
CIRRUS MASTER ISIS|03/22/2019|527|451850000|MAR2019|2019-03
VISA - LOCAL|03/23/2019|52|44800000|MAR2019|2019-03
VISA - INTERNATIONAL|03/23/2019|1511|1608000000|MAR2019|2019-03
PLUS - LOCAL|03/23/2019|181|150450000|MAR2019|2019-03
PLUS - INTERNATIONAL|03/23/2019|2420|2610500000|MAR2019|2019-03
CIRRUS MASTER NON ISIS|03/23/2019|2500|2986350000|MAR2019|2019-03
CIRRUS MASTER ISIS|03/23/2019|542|495250000|MAR2019|2019-03
VISA - LOCAL|03/24/2019|40|35400000|MAR2019|2019-03
VISA - INTERNATIONAL|03/24/2019|1572|1652500000|MAR2019|2019-03
PLUS - LOCAL|03/24/2019|159|130650000|MAR2019|2019-03
PLUS - INTERNATIONAL|03/24/2019|2426|2579750000|MAR2019|2019-03
CIRRUS MASTER NON ISIS|03/24/2019|2521|2891500000|MAR2019|2019-03
CIRRUS MASTER ISIS|03/24/2019|472|366200000|MAR2019|2019-03
VISA - LOCAL|03/25/2019|36|34700000|MAR2019|2019-03
VISA - INTERNATIONAL|03/25/2019|1502|1728600000|MAR2019|2019-03
PLUS - LOCAL|03/25/2019|157|154500000|MAR2019|2019-03
PLUS - INTERNATIONAL|03/25/2019|2441|2936450000|MAR2019|2019-03
CIRRUS MASTER NON ISIS|03/25/2019|7628|9168550000|MAR2019|2019-03
CIRRUS MASTER ISIS|03/25/2019|1522|1395100000|MAR2019|2019-03
VISA - LOCAL|03/26/2019|39|36000000|MAR2019|2019-03
VISA - INTERNATIONAL|03/26/2019|1425|1597450000|MAR2019|2019-03
PLUS - LOCAL|03/26/2019|139|155550000|MAR2019|2019-03
PLUS - INTERNATIONAL|03/26/2019|2267|2781500000|MAR2019|2019-03
CIRRUS MASTER NON ISIS|03/26/2019|2330|2931600000|MAR2019|2019-03
CIRRUS MASTER ISIS|03/26/2019|473|545800000|MAR2019|2019-03
VISA - LOCAL|03/27/2019|30|27800000|MAR2019|2019-03
VISA - INTERNATIONAL|03/27/2019|1510|1754900000|MAR2019|2019-03
PLUS - LOCAL|03/27/2019|151|143550000|MAR2019|2019-03
PLUS - INTERNATIONAL|03/27/2019|2382|2883050000|MAR2019|2019-03
CIRRUS MASTER NON ISIS|03/27/2019|2635|3240050000|MAR2019|2019-03
CIRRUS MASTER ISIS|03/27/2019|420|437700000|MAR2019|2019-03
VISA - LOCAL|03/28/2019|54|59050000|MAR2019|2019-03
VISA - INTERNATIONAL|03/28/2019|1428|1705950000|MAR2019|2019-03
PLUS - LOCAL|03/28/2019|128|125500000|MAR2019|2019-03
PLUS - INTERNATIONAL|03/28/2019|2237|2785050000|MAR2019|2019-03
CIRRUS MASTER NON ISIS|03/28/2019|2483|3269000000|MAR2019|2019-03
CIRRUS MASTER ISIS|03/28/2019|454|493650000|MAR2019|2019-03
VISA - LOCAL|03/29/2019|51|53000000|MAR2019|2019-03
VISA - INTERNATIONAL|03/29/2019|1467|1725550000|MAR2019|2019-03
PLUS - LOCAL|03/29/2019|165|196500000|MAR2019|2019-03
PLUS - INTERNATIONAL|03/29/2019|2427|3039750000|MAR2019|2019-03
CIRRUS MASTER NON ISIS|03/29/2019|2487|3122150000|MAR2019|2019-03
CIRRUS MASTER ISIS|03/29/2019|457|489800000|MAR2019|2019-03
VISA - LOCAL|03/30/2019|32|35500000|MAR2019|2019-03
VISA - INTERNATIONAL|03/30/2019|1378|1556650000|MAR2019|2019-03
PLUS - LOCAL|03/30/2019|186|185600000|MAR2019|2019-03
PLUS - INTERNATIONAL|03/30/2019|2436|3046550000|MAR2019|2019-03
CIRRUS MASTER NON ISIS|03/30/2019|2623|3244800000|MAR2019|2019-03
CIRRUS MASTER ISIS|03/30/2019|449|473450000|MAR2019|2019-03
VISA - LOCAL|03/31/2019|36|31950000|MAR2019|2019-03
VISA - INTERNATIONAL|03/31/2019|1431|1648400000|MAR2019|2019-03
PLUS - LOCAL|03/31/2019|159|178950000|MAR2019|2019-03
PLUS - INTERNATIONAL|03/31/2019|2224|2660850000|MAR2019|2019-03
CIRRUS MASTER NON ISIS|03/31/2019|2357|2828400000|MAR2019|2019-03
CIRRUS MASTER ISIS|03/31/2019|434|446800000|MAR2019|2019-03
VISA - LOCAL|04/01/2019|71|61550000|APR2019|2019-04
VISA - INTERNATIONAL|04/01/2019|1440|1760750000|APR2019|2019-04
PLUS - LOCAL|04/01/2019|166|200450000|APR2019|2019-04
PLUS - INTERNATIONAL|04/01/2019|2589|3409200000|APR2019|2019-04
CIRRUS MASTER NON ISIS|04/01/2019|7409|9271850000|APR2019|2019-04
CIRRUS MASTER ISIS|04/01/2019|1407|1504850000|APR2019|2019-04
VISA - LOCAL|04/02/2019|50|51900000|APR2019|2019-04
VISA - INTERNATIONAL|04/02/2019|1507|1868850000|APR2019|2019-04
PLUS - LOCAL|04/02/2019|194|191350000|APR2019|2019-04
PLUS - INTERNATIONAL|04/02/2019|2662|3400950000|APR2019|2019-04
CIRRUS MASTER NON ISIS|04/02/2019|2645|3342100000|APR2019|2019-04
CIRRUS MASTER ISIS|04/02/2019|569|664600000|APR2019|2019-04
VISA - LOCAL|04/03/2019|39|45400000|APR2019|2019-04
VISA - INTERNATIONAL|04/03/2019|1439|1640300000|APR2019|2019-04
PLUS - LOCAL|04/03/2019|205|207300000|APR2019|2019-04
PLUS - INTERNATIONAL|04/03/2019|2481|2901200000|APR2019|2019-04
CIRRUS MASTER NON ISIS|04/03/2019|2575|3238250000|APR2019|2019-04
CIRRUS MASTER ISIS|04/03/2019|451|448850000|APR2019|2019-04
VISA - LOCAL|04/04/2019|57|62600000|APR2019|2019-04
VISA - INTERNATIONAL|04/04/2019|1470|1793050000|APR2019|2019-04
PLUS - LOCAL|04/04/2019|200|205200000|APR2019|2019-04
PLUS - INTERNATIONAL|04/04/2019|2705|3373800000|APR2019|2019-04
CIRRUS MASTER NON ISIS|04/04/2019|5073|6476050000|APR2019|2019-04
CIRRUS MASTER ISIS|04/04/2019|1029|1053750000|APR2019|2019-04
VISA - LOCAL|04/05/2019|50|58550000|APR2019|2019-04
VISA - INTERNATIONAL|04/05/2019|1596|1923050000|APR2019|2019-04
PLUS - LOCAL|04/05/2019|194|202800000|APR2019|2019-04
PLUS - INTERNATIONAL|04/05/2019|2922|3620350000|APR2019|2019-04
CIRRUS MASTER NON ISIS|04/05/2019|2615|3306850000|APR2019|2019-04
CIRRUS MASTER ISIS|04/05/2019|640|743150000|APR2019|2019-04
VISA - LOCAL|04/06/2019|58|48900000|APR2019|2019-04
VISA - INTERNATIONAL|04/06/2019|1606|1874050000|APR2019|2019-04
PLUS - LOCAL|04/06/2019|230|254600000|APR2019|2019-04
PLUS - INTERNATIONAL|04/06/2019|2496|2892700000|APR2019|2019-04
CIRRUS MASTER NON ISIS|04/06/2019|2618|2912900000|APR2019|2019-04
CIRRUS MASTER ISIS|04/06/2019|611|657950000|APR2019|2019-04
VISA - LOCAL|04/07/2019|28|30250000|APR2019|2019-04
VISA - INTERNATIONAL|04/07/2019|1390|1475450000|APR2019|2019-04
PLUS - LOCAL|04/07/2019|170|164100000|APR2019|2019-04
PLUS - INTERNATIONAL|04/07/2019|2352|2608450000|APR2019|2019-04
CIRRUS MASTER NON ISIS|04/07/2019|2299|2571600000|APR2019|2019-04
CIRRUS MASTER ISIS|04/07/2019|526|487650000|APR2019|2019-04
VISA - LOCAL|04/08/2019|58|64250000|APR2019|2019-04
VISA - INTERNATIONAL|04/08/2019|1574|1824600000|APR2019|2019-04
PLUS - LOCAL|04/08/2019|213|220600000|APR2019|2019-04
PLUS - INTERNATIONAL|04/08/2019|2710|3355750000|APR2019|2019-04
CIRRUS MASTER NON ISIS|04/08/2019|7443|8605350000|APR2019|2019-04
CIRRUS MASTER ISIS|04/08/2019|1735|1837100000|APR2019|2019-04
VISA - LOCAL|04/09/2019|67|66150000|APR2019|2019-04
VISA - INTERNATIONAL|04/09/2019|1494|1697100000|APR2019|2019-04
PLUS - LOCAL|04/09/2019|236|251800000|APR2019|2019-04
PLUS - INTERNATIONAL|04/09/2019|2555|3137450000|APR2019|2019-04
CIRRUS MASTER NON ISIS|04/09/2019|2522|3194200000|APR2019|2019-04
CIRRUS MASTER ISIS|04/09/2019|666|734750000|APR2019|2019-04
VISA - LOCAL|04/10/2019|58|63800000|APR2019|2019-04
VISA - INTERNATIONAL|04/10/2019|1454|1775700000|APR2019|2019-04
PLUS - LOCAL|04/10/2019|216|204150000|APR2019|2019-04
PLUS - INTERNATIONAL|04/10/2019|2505|2955500000|APR2019|2019-04
CIRRUS MASTER NON ISIS|04/10/2019|2599|3291700000|APR2019|2019-04
CIRRUS MASTER ISIS|04/10/2019|517|543450000|APR2019|2019-04
VISA - LOCAL|04/11/2019|35|31000000|APR2019|2019-04
VISA - INTERNATIONAL|04/11/2019|1755|2351450000|APR2019|2019-04
PLUS - LOCAL|04/11/2019|196|190900000|APR2019|2019-04
PLUS - INTERNATIONAL|04/11/2019|2542|3081500000|APR2019|2019-04
CIRRUS MASTER NON ISIS|04/11/2019|2567|3183550000|APR2019|2019-04
CIRRUS MASTER ISIS|04/11/2019|540|531450000|APR2019|2019-04
VISA - LOCAL|04/12/2019|65|61000000|APR2019|2019-04
VISA - INTERNATIONAL|04/12/2019|1835|2304200000|APR2019|2019-04
PLUS - LOCAL|04/12/2019|202|195500000|APR2019|2019-04
PLUS - INTERNATIONAL|04/12/2019|2623|3142100000|APR2019|2019-04
CIRRUS MASTER NON ISIS|04/12/2019|2575|3120400000|APR2019|2019-04
CIRRUS MASTER ISIS|04/12/2019|603|640200000|APR2019|2019-04
VISA - LOCAL|04/13/2019|64|53700000|APR2019|2019-04
VISA - INTERNATIONAL|04/13/2019|1614|1934500000|APR2019|2019-04
PLUS - LOCAL|04/13/2019|182|162350000|APR2019|2019-04
PLUS - INTERNATIONAL|04/13/2019|2543|2897450000|APR2019|2019-04
CIRRUS MASTER NON ISIS|04/13/2019|2536|2975850000|APR2019|2019-04
CIRRUS MASTER ISIS|04/13/2019|547|508650000|APR2019|2019-04
VISA - LOCAL|04/14/2019|69|63050000|APR2019|2019-04
VISA - INTERNATIONAL|04/14/2019|1468|1651450000|APR2019|2019-04
PLUS - LOCAL|04/14/2019|171|144850000|APR2019|2019-04
PLUS - INTERNATIONAL|04/14/2019|2340|2485350000|APR2019|2019-04
CIRRUS MASTER NON ISIS|04/14/2019|2254|2549500000|APR2019|2019-04
CIRRUS MASTER ISIS|04/14/2019|590|527900000|APR2019|2019-04
VISA - LOCAL|04/15/2019|44|48950000|APR2019|2019-04
VISA - INTERNATIONAL|04/15/2019|1656|1952300000|APR2019|2019-04
PLUS - LOCAL|04/15/2019|196|190250000|APR2019|2019-04
PLUS - INTERNATIONAL|04/15/2019|2501|3027400000|APR2019|2019-04
CIRRUS MASTER NON ISIS|04/15/2019|7425|8797400000|APR2019|2019-04
CIRRUS MASTER ISIS|04/15/2019|1725|1631750000|APR2019|2019-04
VISA - LOCAL|04/16/2019|49|49200000|APR2019|2019-04
VISA - INTERNATIONAL|04/16/2019|1766|2157850000|APR2019|2019-04
PLUS - LOCAL|04/16/2019|219|242300000|APR2019|2019-04
PLUS - INTERNATIONAL|04/16/2019|2544|2986500000|APR2019|2019-04
CIRRUS MASTER NON ISIS|04/16/2019|2588|3206500000|APR2019|2019-04
CIRRUS MASTER ISIS|04/16/2019|586|578050000|APR2019|2019-04
VISA - LOCAL|04/17/2019|23|20700000|APR2019|2019-04
VISA - INTERNATIONAL|04/17/2019|1573|1781200000|APR2019|2019-04
PLUS - LOCAL|04/17/2019|167|156750000|APR2019|2019-04
PLUS - INTERNATIONAL|04/17/2019|2129|2272250000|APR2019|2019-04
CIRRUS MASTER NON ISIS|04/17/2019|2490|2884500000|APR2019|2019-04
CIRRUS MASTER ISIS|04/17/2019|425|381050000|APR2019|2019-04
VISA - LOCAL|04/18/2019|61|69750000|APR2019|2019-04
VISA - INTERNATIONAL|04/18/2019|1729|2042800000|APR2019|2019-04
PLUS - LOCAL|04/18/2019|211|198350000|APR2019|2019-04
PLUS - INTERNATIONAL|04/18/2019|2532|3008850000|APR2019|2019-04
CIRRUS MASTER NON ISIS|04/18/2019|5142|6202650000|APR2019|2019-04
CIRRUS MASTER ISIS|04/18/2019|1025|942000000|APR2019|2019-04
VISA - LOCAL|04/19/2019|56|60300000|APR2019|2019-04
VISA - INTERNATIONAL|04/19/2019|1614|1798850000|APR2019|2019-04
PLUS - LOCAL|04/19/2019|197|189150000|APR2019|2019-04
PLUS - INTERNATIONAL|04/19/2019|2423|2649450000|APR2019|2019-04
CIRRUS MASTER NON ISIS|04/19/2019|2713|3084500000|APR2019|2019-04
CIRRUS MASTER ISIS|04/19/2019|493|422250000|APR2019|2019-04
VISA - LOCAL|04/20/2019|70|70150000|APR2019|2019-04
VISA - INTERNATIONAL|04/20/2019|1705|2050350000|APR2019|2019-04
PLUS - LOCAL|04/20/2019|271|230750000|APR2019|2019-04
PLUS - INTERNATIONAL|04/20/2019|2775|3038600000|APR2019|2019-04
CIRRUS MASTER NON ISIS|04/20/2019|2862|3429700000|APR2019|2019-04
CIRRUS MASTER ISIS|04/20/2019|639|619650000|APR2019|2019-04
VISA - LOCAL|04/21/2019|61|46550000|APR2019|2019-04
VISA - INTERNATIONAL|04/21/2019|1671|1779900000|APR2019|2019-04
PLUS - LOCAL|04/21/2019|246|212100000|APR2019|2019-04
PLUS - INTERNATIONAL|04/21/2019|2547|2543550000|APR2019|2019-04
CIRRUS MASTER NON ISIS|04/21/2019|2567|2863550000|APR2019|2019-04
CIRRUS MASTER ISIS|04/21/2019|601|527250000|APR2019|2019-04
VISA - LOCAL|04/22/2019|77|58500000|APR2019|2019-04
VISA - INTERNATIONAL|04/22/2019|1820|2047150000|APR2019|2019-04
PLUS - LOCAL|04/22/2019|197|181000000|APR2019|2019-04
PLUS - INTERNATIONAL|04/22/2019|2683|3115250000|APR2019|2019-04
CIRRUS MASTER NON ISIS|04/22/2019|0|0|APR2019|2019-04
CIRRUS MASTER ISIS|04/22/2019|2321|2174450000|APR2019|2019-04
VISA - LOCAL|04/23/2019|57|53400000|APR2019|2019-04
VISA - INTERNATIONAL|04/23/2019|1783|2125200000|APR2019|2019-04
PLUS - LOCAL|04/23/2019|199|195500000|APR2019|2019-04
PLUS - INTERNATIONAL|04/23/2019|2635|3107800000|APR2019|2019-04
CIRRUS MASTER NON ISIS|04/23/2019|3157|3844900000|APR2019|2019-04
CIRRUS MASTER ISIS|04/23/2019|519|534000000|APR2019|2019-04
VISA - LOCAL|04/24/2019|55|49950000|APR2019|2019-04
VISA - INTERNATIONAL|04/24/2019|1719|1885550000|APR2019|2019-04
PLUS - LOCAL|04/24/2019|169|161450000|APR2019|2019-04
PLUS - INTERNATIONAL|04/24/2019|2353|2703650000|APR2019|2019-04
CIRRUS MASTER NON ISIS|04/24/2019|2929|3604300000|APR2019|2019-04
CIRRUS MASTER ISIS|04/24/2019|419|395230000|APR2019|2019-04
VISA - LOCAL|04/25/2019|34|36800000|APR2019|2019-04
VISA - INTERNATIONAL|04/25/2019|1682|1951450000|APR2019|2019-04
PLUS - LOCAL|04/25/2019|160|156850000|APR2019|2019-04
PLUS - INTERNATIONAL|04/25/2019|2565|3146900000|APR2019|2019-04
CIRRUS MASTER NON ISIS|04/25/2019|3025|3662800000|APR2019|2019-04
CIRRUS MASTER ISIS|04/25/2019|377|387150000|APR2019|2019-04
VISA - LOCAL|04/26/2019|36|42600000|APR2019|2019-04
VISA - INTERNATIONAL|04/26/2019|1714|2053900000|APR2019|2019-04
PLUS - LOCAL|04/26/2019|130|131050000|APR2019|2019-04
PLUS - INTERNATIONAL|04/26/2019|2611|3144250000|APR2019|2019-04
CIRRUS MASTER NON ISIS|04/26/2019|3068|3765600000|APR2019|2019-04
CIRRUS MASTER ISIS|04/26/2019|392|437850000|APR2019|2019-04
VISA - LOCAL|04/27/2019|35|28150000|APR2019|2019-04
VISA - INTERNATIONAL|04/27/2019|1730|1890350000|APR2019|2019-04
PLUS - LOCAL|04/27/2019|154|151150000|APR2019|2019-04
PLUS - INTERNATIONAL|04/27/2019|2527|2889750000|APR2019|2019-04
CIRRUS MASTER NON ISIS|04/27/2019|2847|3352850000|APR2019|2019-04
CIRRUS MASTER ISIS|04/27/2019|425|444300000|APR2019|2019-04
VISA - LOCAL|04/28/2019|29|28750000|APR2019|2019-04
VISA - INTERNATIONAL|04/28/2019|1570|1694150000|APR2019|2019-04
PLUS - LOCAL|04/28/2019|144|115700000|APR2019|2019-04
PLUS - INTERNATIONAL|04/28/2019|2448|2739300000|APR2019|2019-04
CIRRUS MASTER NON ISIS|04/28/2019|2735|3040050000|APR2019|2019-04
CIRRUS MASTER ISIS|04/28/2019|420|396900000|APR2019|2019-04
VISA - LOCAL|04/29/2019|34|36750000|APR2019|2019-04
VISA - INTERNATIONAL|04/29/2019|1829|2211200000|APR2019|2019-04
PLUS - LOCAL|04/29/2019|148|155200000|APR2019|2019-04
PLUS - INTERNATIONAL|04/29/2019|2560|3084850000|APR2019|2019-04
CIRRUS MASTER NON ISIS|04/29/2019|8443|9887950000|APR2019|2019-04
CIRRUS MASTER ISIS|04/29/2019|1242|1304900000|APR2019|2019-04
VISA - LOCAL|04/30/2019|43|58950000|APR2019|2019-04
VISA - INTERNATIONAL|04/30/2019|1670|1975650000|APR2019|2019-04
PLUS - LOCAL|04/30/2019|163|171350000|APR2019|2019-04
