jnstrans|date|txn|idr|bln|mth
CIRRUS MASTER ISIS|01/11/2019|617|648400000|JAN2019|2019-01
VISA - LOCAL|01/12/2019|55|47000000|JAN2019|2019-01
VISA - INTERNATIONAL|01/12/2019|1586|1993050000|JAN2019|2019-01
PLUS - LOCAL|01/12/2019|219|210250000|JAN2019|2019-01
PLUS - INTERNATIONAL|01/12/2019|2521|2726250000|JAN2019|2019-01
CIRRUS MASTER NON ISIS|01/12/2019|2226|2684400000|JAN2019|2019-01
CIRRUS MASTER ISIS|01/12/2019|552|523350000|JAN2019|2019-01
VISA - LOCAL|01/13/2019|37|32400000|JAN2019|2019-01
VISA - INTERNATIONAL|01/13/2019|1442|1676200000|JAN2019|2019-01
PLUS - LOCAL|01/13/2019|192|176250000|JAN2019|2019-01
PLUS - INTERNATIONAL|01/13/2019|2226|2273500000|JAN2019|2019-01
CIRRUS MASTER NON ISIS|01/13/2019|2134|2361700000|JAN2019|2019-01
CIRRUS MASTER ISIS|01/13/2019|519|468550000|JAN2019|2019-01
VISA - LOCAL|01/14/2019|40|39300000|JAN2019|2019-01
VISA - INTERNATIONAL|01/14/2019|1389|1674850000|JAN2019|2019-01
PLUS - LOCAL|01/14/2019|223|191350000|JAN2019|2019-01
PLUS - INTERNATIONAL|01/14/2019|2458|2889060000|JAN2019|2019-01
CIRRUS MASTER NON ISIS|01/14/2019|6517|7720050000|JAN2019|2019-01
CIRRUS MASTER ISIS|01/14/2019|1668|1548550000|JAN2019|2019-01
VISA - LOCAL|01/15/2019|43|52400000|JAN2019|2019-01
VISA - INTERNATIONAL|01/15/2019|1445|1693250000|JAN2019|2019-01
PLUS - LOCAL|01/15/2019|173|161200000|JAN2019|2019-01
PLUS - INTERNATIONAL|01/15/2019|2400|2733150000|JAN2019|2019-01
CIRRUS MASTER NON ISIS|01/15/2019|2306|2895700000|JAN2019|2019-01
CIRRUS MASTER ISIS|01/15/2019|509|506200000|JAN2019|2019-01
VISA - LOCAL|01/16/2019|51|58150000|JAN2019|2019-01
VISA - INTERNATIONAL|01/16/2019|1274|1469500000|JAN2019|2019-01
PLUS - LOCAL|01/16/2019|184|194850000|JAN2019|2019-01
PLUS - INTERNATIONAL|01/16/2019|2168|2473950000|JAN2019|2019-01
CIRRUS MASTER NON ISIS|01/16/2019|2193|2830850000|JAN2019|2019-01
CIRRUS MASTER ISIS|01/16/2019|470|428800000|JAN2019|2019-01
VISA - LOCAL|01/17/2019|54|58100000|JAN2019|2019-01
VISA - INTERNATIONAL|01/17/2019|1322|1601100000|JAN2019|2019-01
PLUS - LOCAL|01/17/2019|181|181450000|JAN2019|2019-01
PLUS - INTERNATIONAL|01/17/2019|2127|2404500000|JAN2019|2019-01
