date|usermb|balance|mutasi|registrasi|aktivasi|payment|login|purchase|transfer|ownacc|otheracc|domesticbank|transferidr|transfersgd|transferusd|paymentidr|purchaseidr|ownaccidr|otheraccidr|domesticbankidr|totaltxn|totalidr|totalsgd|totalusd|bln|mth
01/22/2019|20615080|3431808|587382|0|17802|152647|0|171621|2330681|0|0|0|4.7501395E12|1200|20581|181866347628.00|11057081000.00|0.00|0.00|0.00|6674139|4943062879601.00|1200|20581|JAN2019|2019-01
01/23/2019|20629483|3400059|574868|0|17559|117922|0|172768|2317991|0|0|0|4.6111884E12|8720|23794|157695408037.00|11124200500.00|0.00|0.00|0.00|6583608|4780008003647.00|8720|23794|JAN2019|2019-01
01/24/2019|20643699|3481217|573690|0|17381|127143|0|169826|2321099|0|0|0|4.6315344E12|5650|14856|178833823104.00|10909418000.00|0.00|0.00|0.00|6672975|4821277636882.00|5650|14856|JAN2019|2019-01
01/25/2019|20655683|4802239|844278|0|15486|190657|0|195463|2927326|0|0|0|5.566304E12|4814|35840|261756341792.00|12776369500.00|0.00|0.00|0.00|8959963|5840836681346.00|4814|35840|JAN2019|2019-01
01/26/2019|20658823|3792367|646879|0|5363|151588|0|187992|2597682|0|0|0|4.2903182E12|7000|19318|164706766105.00|12332621500.00|0.00|0.00|0.00|7376508|4467357575489.00|7000|19318|JAN2019|2019-01
01/27/2019|20660709|2829941|435772|0|3389|113425|0|164705|1925526|0|0|0|2.564938E12|5050|9364|112658983567.00|10932397000.00|0.00|0.00|0.00|5469369|2688529421780.00|5050|9364|JAN2019|2019-01
01/28/2019|20679989|4673638|786403|0|22671|157718|0|190716|2908893|0|0|0|5.6832252E12|6300|78567|216661370783.00|12360885000.00|0.00|0.00|0.00|8717368|5912247505402.00|6300|78567|JAN2019|2019-01
01/29/2019|20698600|4310414|730760|0|22291|142315|0|184173|2695730|0|0|0|5.3975566E12|1900|33261|190759592621.00|11942332500.00|0.00|0.00|0.00|8063392|5600258475765.00|1900|33261|JAN2019|2019-01
01/30/2019|20715237|4619663|769950|0|20531|140656|0|189002|2746863|0|0|0|5.3799672E12|2650|27692|171430562385.00|12346123500.00|0.00|0.00|0.00|8466134|5563743870935.00|2650|27692|JAN2019|2019-01
01/31/2019|20733063|5763459|1018363|0|22050|171555|0|199502|3245787|0|0|0|6.1422042E12|3570|139064|207763121406.00|13167919500.00|0.00|0.00|0.00|10398666|6363135276510.00|3570|139064|JAN2019|2019-01
02/01/2019|20744114|4675342|898874|0|14670|175471|0|198646|3025106|0|0|0|5.6711796E12|20140|58844|204175555315.00|13291043000.00|0.00|0.00|0.00|8973439|5888646180892.00|20140|58844|FEB2019|2019-02
02/02/2019|20747173|3851803|678578|0|5384|144714|0|195373|2777318|0|0|0|4.6786749E12|6583|24563|149620886571.00|12842300000.00|0.00|0.00|0.00|7647786|4841138089952.00|6583|24563|FEB2019|2019-02
02/03/2019|20749168|3001953|514864|0|3502|125340|0|171251|2063391|0|0|0|2.790276E12|7000|17072|115416047062.00|11292536000.00|0.00|0.00|0.00|5876799|2916984604729.00|7000|17072|FEB2019|2019-02
02/04/2019|20772783|4213684|752880|0|26885|160678|0|191455|2761032|0|0|0|5.3058276E12|8750|39248|190484164557.00|12337345500.00|0.00|0.00|0.00|8079729|5508649120555.00|8750|39248|FEB2019|2019-02
02/05/2019|20775144|3063830|484292|0|4449|129857|0|168698|2039690|0|0|0|2.7836745E12|3200|21692|125168719683.00|11139260500.00|0.00|0.00|0.00|5886367|2919982493287.00|3200|21692|FEB2019|2019-02
02/06/2019|20795129|3953031|689463|0|23256|167047|0|187795|2628670|0|0|0|4.8858401E12|8737|53365|195031513910.00|12125982500.00|0.00|0.00|0.00|7626006|5092997630367.00|8737|53365|FEB2019|2019-02
02/07/2019|20813394|3868324|679319|0|21804|160652|0|187449|2636082|0|0|0|5.0031426E12|3458|39783|184154325992.00|12371541000.00|0.00|0.00|0.00|7531826|5199668484052.00|3458|39783|FEB2019|2019-02
02/08/2019|20830577|3931388|689791|0|20707|146000|0|172876|2644271|0|0|0|5.1376238E12|1470|26033|166313867717.00|11065236500.00|0.00|0.00|0.00|7584326|5315002880860.00|1470|26033|FEB2019|2019-02
02/09/2019|20833310|3310615|540792|0|4745|130665|0|173973|2428756|0|0|0|4.0602821E12|1600|15100|111312141255.00|11215579000.00|0.00|0.00|0.00|6584801|4182809841378.00|1600|15100|FEB2019|2019-02
02/10/2019|20834984|2723119|415846|0|3162|124607|0|156508|1910722|0|0|0|2.5190094E12|7000|9332|97199309655.00|10208776500.00|0.00|0.00|0.00|5330802|2626417510316.00|7000|9332|FEB2019|2019-02
02/11/2019|20853673|3850718|669427|0|21580|158201|0|178188|2655219|0|0|0|5.3962254E12|2925|38991|174008967682.00|11397062500.00|0.00|0.00|0.00|7511753|5581631420841.00|2925|38991|FEB2019|2019-02
02/12/2019|20870950|3693783|639911|0|20557|149665|0|169771|2564596|0|0|0|5.1046706E12|1350|14471|165917658319.00|10807057000.00|0.00|0.00|0.00|7217726|5281395279466.00|1350|14471|FEB2019|2019-02
02/13/2019|20886503|3621860|626089|0|18810|132039|0|170829|2555467|0|0|0|4.9104774E12|750|21583|144276645441.00|10968768000.00|0.00|0.00|0.00|7106284|5065722769935.00|750|21583|FEB2019|2019-02
02/14/2019|20901804|3618392|592349|0|18426|122639|0|174082|2497739|0|0|0|4.7571052E12|2560|14025|132791407745.00|11572402500.00|0.00|0.00|0.00|7005201|4901469008914.00|2560|14025|FEB2019|2019-02
02/15/2019|20916944|3883916|690192|0|18328|132946|0|167354|2608751|0|0|0|5.0645286E12|1350|19943|142846335887.00|10706114500.00|0.00|0.00|0.00|7483159|5218081002636.00|1350|19943|FEB2019|2019-02
02/16/2019|20919595|3321895|613546|0|4517|117945|0|161473|2320811|0|0|0|3.9532735E12|1000|4911|105566399091.00|10379333500.00|0.00|0.00|0.00|6535670|4069219231646.00|1000|4911|FEB2019|2019-02
02/17/2019|20921164|2565992|416626|0|3047|113518|0|143947|1790375|0|0|0|2.3661407E12|0|8460|95649480402.00|9421779000.00|0.00|0.00|0.00|5030458|2471211989248.00|0|8460|FEB2019|2019-02
02/18/2019|20938658|3689081|660422|0|20217|147091|0|169900|2508485|0|0|0|5.1343941E12|1000|17799|168212392520.00|10751582000.00|0.00|0.00|0.00|7174979|5313358025987.00|1000|17799|FEB2019|2019-02
02/19/2019|20955020|3585338|625737|0|19860|164973|0|165476|2487147|0|0|0|5.0402613E12|1500|17749|184983291125.00|10638576500.00|0.00|0.00|0.00|7028671|5235883175075.00|1500|17749|FEB2019|2019-02
02/20/2019|20969855|3681544|635344|0|18254|197409|0|148844|2547788|0|0|0|4.9903771E12|1300|28180|205517951355.00|9553250000.00|0.00|0.00|0.00|7210929|5205448336309.00|1300|28180|FEB2019|2019-02
02/21/2019|20984523|3547325|606646|0|17996|174533|0|173323|2466854|0|0|0|4.8094232E12|4602|23087|184779256386.00|11326100000.00|0.00|0.00|0.00|6968681|5005528559795.00|4602|23087|FEB2019|2019-02
02/22/2019|20999812|3738403|625722|0|18527|156905|0|176932|2597701|0|0|0|5.0294415E12|400|18713|171195717861.00|11560603500.00|0.00|0.00|0.00|7295663|5212197837915.00|400|18713|FEB2019|2019-02
02/23/2019|21002430|3401217|583896|0|4703|138128|0|172183|2479212|0|0|0|4.1766935E12|1084|6829|131120862804.00|11198530500.00|0.00|0.00|0.00|6774636|4319012876971.00|1084|6829|FEB2019|2019-02
02/24/2019|21004149|2697448|404878|0|3133|114878|0|155024|1914915|0|0|0|2.5387735E12|150|8435|102633159848.00|10229969500.00|0.00|0.00|0.00|5287143|2651636600835.00|150|8435|FEB2019|2019-02
02/25/2019|21022957|4560595|774543|0|22004|187381|0|183610|2887179|0|0|0|5.8053323E12|3250|64005|239869474605.00|11877394000.00|0.00|0.00|0.00|8593308|6057079142840.00|3250|64005|FEB2019|2019-02
02/26/2019|21041013|4364911|743147|0|21685|179858|0|178673|2815078|0|0|0|5.6307242E12|2620|80078|234894069718.00|11541245000.00|0.00|0.00|0.00|8281667|5877159511684.00|2620|80078|FEB2019|2019-02
02/27/2019|21058282|4726374|801238|0|21393|183583|0|183407|2920484|0|0|0|5.7351157E12|2257|32814|219338497822.00|11819842500.00|0.00|0.00|0.00|8815086|5966274053784.00|2257|32814|FEB2019|2019-02
02/28/2019|21077672|6623653|1144558|0|24528|244533|0|210525|3754851|0|0|0|6.977076E12|3150|30585|285035173243.00|13735119500.00|0.00|0.00|0.00|11978120|7275846304784.00|3150|30585|FEB2019|2019-02
03/01/2019|21094161|5183986|942387|0|20489|218742|0|203764|3441166|0|0|0|6.2002564E12|5600|32829|230337896540.00|13476040500.00|0.00|0.00|0.00|9990045|6444070351022.00|5600|32829|MAR2019|2019-03
03/02/2019|21097242|3672853|646263|0|5439|158341|0|176705|2699421|0|0|0|4.2837903E12|0|4085|143414946383.00|11702328000.00|0.00|0.00|0.00|7353583|4438907534838.00|0|4085|MAR2019|2019-03
03/03/2019|21099497|3218026|528986|0|4021|146489|0|178322|2326793|0|0|0|2.9464933E12|0|3620|123129772921.00|11837774000.00|0.00|0.00|0.00|6398616|3081460844801.00|0|3620|MAR2019|2019-03
03/04/2019|21121285|4441381|809230|0|25324|206855|0|196235|3094736|0|0|0|5.9551558E12|1000|30395|238317272714.00|12564438000.00|0.00|0.00|0.00|8748437|6206037510270.00|1000|30395|MAR2019|2019-03
03/05/2019|21140150|4358921|778463|0|22630|185430|0|186333|2978150|0|0|0|5.6517532E12|293|31618|206752331081.00|11913313500.00|0.00|0.00|0.00|8487297|5870418805306.00|293|31618|MAR2019|2019-03
03/06/2019|21156901|4040538|713255|0|20556|172777|0|191241|2862218|0|0|0|5.2393697E12|3579|25507|193313871170.00|12331009500.00|0.00|0.00|0.00|7980029|5445014618677.00|3579|25507|MAR2019|2019-03
03/07/2019|21158790|3152607|510957|0|3992|141624|0|160610|2250374|0|0|0|3.2641726E12|1435|10017|113760136950.00|10536369000.00|0.00|0.00|0.00|6216172|3388469134920.00|1435|10017|MAR2019|2019-03
03/08/2019|21178002|4101963|713444|0|22588|159340|0|172124|2804220|0|0|0|5.3693788E12|4410|22499|169306522785.00|11070163000.00|0.00|0.00|0.00|7951091|5549755498877.00|4410|22499|MAR2019|2019-03
03/09/2019|21181035|3413599|556825|0|5197|140786|0|177516|2536884|0|0|0|4.134912E12|3600|12768|112972163889.00|11522338000.00|0.00|0.00|0.00|6825610|4259406518503.00|3600|12768|MAR2019|2019-03
03/10/2019|21182893|2857542|443596|0|3362|131514|0|155401|2030961|0|0|0|2.6092159E12|10|3730|96418596965.00|10156049000.00|0.00|0.00|0.00|5619014|2715790507454.00|10|3730|MAR2019|2019-03
03/11/2019|21201972|4016541|702470|0|22242|173472|0|181547|2770133|0|0|0|5.57455E12|1317|23763|176825472856.00|11522347500.00|0.00|0.00|0.00|7844163|5762897792268.00|1317|23763|MAR2019|2019-03
