date|CoPartner|Hit
"24/10/19|801|719,107"
"25/10/19|801|776,871"
"26/10/19|801|511,345"
"27/10/19|801|540,841"
"28/10/19|801|825,212"
"29/10/19|801|773,438"
"30/10/19|806|779,927"
"31/10/19|806|837,828"
"01/11/19|806|901,548"
"02/11/19|806|549,938"
"03/11/19|806|603,999"
"04/11/19|804|910,367"
"05/11/19|810|855,195"
"06/11/19|810|848,914"
"07/11/19|810|840,849"
"08/11/19|810|866,280"
"09/11/19|810|540,117"
"10/11/19|810|597,504"
"11/11/19|810|945,151"
"12/11/19|827|869,510"
"13/11/19|827|802,962"
"14/11/19|827|808,451"
"15/11/19|827|845,154"
"16/11/19|827|535,628"
"17/11/19|827|569,399"
"18/11/19|827|908,463"
"19/11/19|827|790,571"
"20/11/19|841|774,895"
"21/11/19|842|885,850"
"22/11/19|842|809,023"
"23/11/19|842|526,274"
"24/11/19|842|555,791"
"25/11/19|842|841,000"
"26/11/19|842|826,728"
"27/11/19|851|824,210"
"28/11/19|851|807,967"
"29/11/19|851|853,264"
"30/11/19|851|606,437"
"01/12/19|851|519,356"
"02/12/19|851|839,166"
"03/12/19|851|807,083"
"04/12/19|862|788,900"
"05/12/19|862|815,855"
"06/12/19|862|816,983"
"07/12/19|862|567,031"
"08/12/19|862|604,316"
"09/12/19|863|874,087"
