jnstrans|date|tunai|cashadv|ceksaldo|payment|berhasil|seluruh|Ntunai|Ncashadv|Nceksaldo|Npayment|Nberhasil|Nseluruh|bln|mth
TRANSAKSI ATM DAN ATMKIOS BCA|02/02/2019|0|0|30086|6194|36280|37571|0|0|0|12313132649.00|0.00|0.00|FEB2019|2019-02
TRANSAKSI ATM DAN ATMKIOS BCA|02/03/2019|0|0|19391|4370|23761|24592|0|0|0|8182914307.00|0.00|0.00|FEB2019|2019-02
TRANSAKSI ATM DAN ATMKIOS BCA|02/04/2019|0|0|37696|10310|48006|49698|0|0|0|23733501339.00|0.00|0.00|FEB2019|2019-02
TRANSAKSI ATM DAN ATMKIOS BCA|02/05/2019|0|0|16290|3789|20079|20756|0|0|0|6060745002.00|0.00|0.00|FEB2019|2019-02
TRANSAKSI ATM DAN ATMKIOS BCA|02/06/2019|0|0|33923|11034|44957|46549|0|0|0|21631428473.00|0.00|0.00|FEB2019|2019-02
TRANSAKSI ATM DAN ATMKIOS BCA|02/07/2019|0|0|31601|10348|41949|43392|0|0|0|18220916865.00|0.00|0.00|FEB2019|2019-02
TRANSAKSI ATM DAN ATMKIOS BCA|02/08/2019|0|0|32972|9761|42733|44189|0|0|0|19391074445.00|0.00|0.00|FEB2019|2019-02
TRANSAKSI ATM DAN ATMKIOS BCA|02/09/2019|0|0|23452|5746|29198|30190|0|0|0|8284803654.00|0.00|0.00|FEB2019|2019-02
TRANSAKSI ATM DAN ATMKIOS BCA|02/10/2019|0|0|16380|4515|20895|21619|0|0|0|6600253341.00|0.00|0.00|FEB2019|2019-02
TRANSAKSI ATM DAN ATMKIOS BCA|02/11/2019|0|0|33175|10286|43461|44936|0|0|0|20906261878.00|0.00|0.00|FEB2019|2019-02
TRANSAKSI ATM DAN ATMKIOS BCA|02/12/2019|0|0|29452|8810|38262|39456|0|0|0|17075997516.00|0.00|0.00|FEB2019|2019-02
TRANSAKSI ATM DAN ATMKIOS BCA|02/13/2019|0|0|27655|7274|34929|36136|0|0|0|14777821458.00|0.00|0.00|FEB2019|2019-02
TRANSAKSI ATM DAN ATMKIOS BCA|02/14/2019|0|0|26732|7062|33794|34916|0|0|0|15431460672.00|0.00|0.00|FEB2019|2019-02
TRANSAKSI ATM DAN ATMKIOS BCA|02/15/2019|0|0|29398|7741|37139|38313|0|0|0|17848717207.00|0.00|0.00|FEB2019|2019-02
TRANSAKSI ATM DAN ATMKIOS BCA|02/16/2019|0|0|22316|4663|26979|27863|0|0|0|9117413186.00|0.00|0.00|FEB2019|2019-02
TRANSAKSI ATM DAN ATMKIOS BCA|02/17/2019|0|0|15266|3421|18687|19311|0|0|0|6030709746.00|0.00|0.00|FEB2019|2019-02
TRANSAKSI ATM DAN ATMKIOS BCA|02/18/2019|0|0|31206|9590|40796|42111|0|0|0|23132443782.00|0.00|0.00|FEB2019|2019-02
TRANSAKSI ATM DAN ATMKIOS BCA|02/19/2019|0|0|28038|9505|37543|38643|0|0|0|22038968408.00|0.00|0.00|FEB2019|2019-02
TRANSAKSI ATM DAN ATMKIOS BCA|02/20/2019|0|0|28492|11977|40469|41797|0|0|0|27850516896.00|0.00|0.00|FEB2019|2019-02
