jnstrans|date|CASHOUT|COIDR|CASHIN|CIIDR|bln|mth
TELLER - NON PINPAD|01/31/2019|136458|29967600936452|481801|23967713222296|JAN2019|2019-01
TELLER - PINPAD|02/01/2019|94101|8695361187017|0|0|FEB2019|2019-02
TELLER - NON PINPAD|02/01/2019|119182|26726040841166|441159|23289266885974|FEB2019|2019-02
TELLER - PINPAD|02/02/2019|0|0|0|0|FEB2019|2019-02
TELLER - NON PINPAD|02/02/2019|0|0|0|0|FEB2019|2019-02
TELLER - PINPAD|02/03/2019|0|0|0|0|FEB2019|2019-02
TELLER - NON PINPAD|02/03/2019|0|0|0|0|FEB2019|2019-02
TELLER - PINPAD|02/04/2019|89241|8127948822959|0|0|FEB2019|2019-02
TELLER - NON PINPAD|02/04/2019|125022|22401733590492|506767|24942540513838|FEB2019|2019-02
TELLER - PINPAD|02/05/2019|0|0|0|0|FEB2019|2019-02
TELLER - NON PINPAD|02/05/2019|0|0|0|0|FEB2019|2019-02
TELLER - PINPAD|02/06/2019|60298|5980870329964|0|0|FEB2019|2019-02
TELLER - NON PINPAD|02/06/2019|103969|22494302181940|416535|19565300140682|FEB2019|2019-02
TELLER - PINPAD|02/07/2019|63090|6373284265400|0|0|FEB2019|2019-02
TELLER - NON PINPAD|02/07/2019|103759|20900309585552|385154|19584619940436|FEB2019|2019-02
TELLER - PINPAD|02/08/2019|72542|7304961430222|0|0|FEB2019|2019-02
TELLER - NON PINPAD|02/08/2019|127483|22982594933263|470146|21255273559899|FEB2019|2019-02
TELLER - PINPAD|02/09/2019|0|0|0|0|FEB2019|2019-02
TELLER - NON PINPAD|02/09/2019|0|0|0|0|FEB2019|2019-02
TELLER - PINPAD|02/10/2019|0|0|0|0|FEB2019|2019-02
TELLER - NON PINPAD|02/10/2019|0|0|0|0|FEB2019|2019-02
TELLER - PINPAD|02/11/2019|81445|8462531561562|0|0|FEB2019|2019-02
TELLER - NON PINPAD|02/11/2019|147142|25148270610935|555614|28183483547860|FEB2019|2019-02
TELLER - PINPAD|02/12/2019|66805|7087808751145|0|0|FEB2019|2019-02
TELLER - NON PINPAD|02/12/2019|109483|21282780203816|397690|18949197460296|FEB2019|2019-02
TELLER - PINPAD|02/13/2019|62329|6544971767150|0|0|FEB2019|2019-02
TELLER - NON PINPAD|02/13/2019|97995|20223542571141|359496|17821516331594|FEB2019|2019-02
TELLER - PINPAD|02/14/2019|61996|6762416569456|0|0|FEB2019|2019-02
TELLER - NON PINPAD|02/14/2019|98407|20355297382397|346163|17976288415302|FEB2019|2019-02
TELLER - PINPAD|02/15/2019|72742|7743582688514|0|0|FEB2019|2019-02
TELLER - NON PINPAD|02/15/2019|127651|25384411318850|430447|21883237709580|FEB2019|2019-02
TELLER - PINPAD|02/16/2019|0|0|0|0|FEB2019|2019-02
TELLER - NON PINPAD|02/16/2019|0|0|0|0|FEB2019|2019-02
TELLER - PINPAD|02/17/2019|0|0|0|0|FEB2019|2019-02
TELLER - NON PINPAD|02/17/2019|0|0|0|0|FEB2019|2019-02
TELLER - PINPAD|02/18/2019|79639|8677689772848|0|0|FEB2019|2019-02
TELLER - NON PINPAD|02/18/2019|142413|25072455404527|509707|25663973181910|FEB2019|2019-02
TELLER - PINPAD|02/19/2019|64624|6962789211236|0|0|FEB2019|2019-02
TELLER - NON PINPAD|02/19/2019|105888|22746565390043|371333|19952106517768|FEB2019|2019-02
TELLER - PINPAD|02/20/2019|61459|6548537092758|0|0|FEB2019|2019-02
TELLER - NON PINPAD|02/20/2019|108087|21528850298080|357546|19271670351929|FEB2019|2019-02
TELLER - PINPAD|02/21/2019|60845|7064230795238|0|0|FEB2019|2019-02
TELLER - NON PINPAD|02/21/2019|97883|22408928906468|335355|19823739516457|FEB2019|2019-02
TELLER - PINPAD|02/22/2019|72417|8160518820383|0|0|FEB2019|2019-02
TELLER - NON PINPAD|02/22/2019|116186|27149242226727|390173|24128846083749|FEB2019|2019-02
TELLER - PINPAD|02/23/2019|0|0|0|0|FEB2019|2019-02
TELLER - NON PINPAD|02/23/2019|0|0|0|0|FEB2019|2019-02
TELLER - PINPAD|02/24/2019|0|0|0|0|FEB2019|2019-02
TELLER - NON PINPAD|02/24/2019|0|0|0|0|FEB2019|2019-02
TELLER - PINPAD|02/25/2019|83588|9031516943567|0|0|FEB2019|2019-02
TELLER - NON PINPAD|02/25/2019|153740|31982387748113|549234|29067643148405|FEB2019|2019-02
TELLER - PINPAD|02/26/2019|71916|7666305245901|0|0|FEB2019|2019-02
TELLER - NON PINPAD|02/26/2019|118287|25539203646776|411008|21756787093861|FEB2019|2019-02
TELLER - PINPAD|02/27/2019|72815|7645246774265|0|0|FEB2019|2019-02
TELLER - NON PINPAD|02/27/2019|118074|25712238527696|417183|23293370098752|FEB2019|2019-02
TELLER - PINPAD|02/28/2019|85176|8858824651037|0|0|FEB2019|2019-02
TELLER - NON PINPAD|02/28/2019|160617|31708637457115|556037|27229576320413|FEB2019|2019-02
TELLER - PINPAD|03/01/2019|87269|8513007864853|0|0|MAR2019|2019-03
TELLER - NON PINPAD|03/01/2019|124121|22562922483690|460540|23079592649643|MAR2019|2019-03
TELLER - PINPAD|03/02/2019|0|0|0|0|MAR2019|2019-03
TELLER - NON PINPAD|03/02/2019|0|0|0|0|MAR2019|2019-03
TELLER - PINPAD|03/03/2019|0|0|0|0|MAR2019|2019-03
TELLER - NON PINPAD|03/03/2019|0|0|0|0|MAR2019|2019-03
TELLER - PINPAD|03/04/2019|87749|9331119784228|0|0|MAR2019|2019-03
TELLER - NON PINPAD|03/04/2019|140967|25993606003306|545017|26390590993338|MAR2019|2019-03
TELLER - PINPAD|03/05/2019|72423|7747533806312|0|0|MAR2019|2019-03
TELLER - NON PINPAD|03/05/2019|116547|23226373047214|429322|20498362578442|MAR2019|2019-03
TELLER - PINPAD|03/06/2019|68659|7404155762765|0|0|MAR2019|2019-03
TELLER - NON PINPAD|03/06/2019|109938|23439180285789|399721|21876169347767|MAR2019|2019-03
TELLER - PINPAD|03/07/2019|0|0|0|0|MAR2019|2019-03
TELLER - NON PINPAD|03/07/2019|0|0|0|0|MAR2019|2019-03
TELLER - PINPAD|03/08/2019|84481|8952208317573|0|0|MAR2019|2019-03
TELLER - NON PINPAD|03/08/2019|144191|27755725475567|526801|26474335776571|MAR2019|2019-03
TELLER - PINPAD|03/09/2019|0|0|0|0|MAR2019|2019-03
TELLER - NON PINPAD|03/09/2019|0|0|0|0|MAR2019|2019-03
TELLER - PINPAD|03/10/2019|0|0|0|0|MAR2019|2019-03
TELLER - NON PINPAD|03/10/2019|0|0|0|0|MAR2019|2019-03
TELLER - PINPAD|03/11/2019|86777|9446948441992|0|0|MAR2019|2019-03
TELLER - NON PINPAD|03/11/2019|155708|29592266946942|569188|30840429746847|MAR2019|2019-03
TELLER - PINPAD|03/12/2019|70134|7916000609880|0|0|MAR2019|2019-03
TELLER - NON PINPAD|03/12/2019|115603|24794480106022|411371|21348530163581|MAR2019|2019-03
TELLER - PINPAD|03/13/2019|64054|7052787642111|0|0|MAR2019|2019-03
TELLER - NON PINPAD|03/13/2019|103501|21827298273496|366996|20606950194589|MAR2019|2019-03
TELLER - PINPAD|03/14/2019|63629|6917631444285|0|0|MAR2019|2019-03
TELLER - NON PINPAD|03/14/2019|100688|19733207956871|352952|18390350575336|MAR2019|2019-03
TELLER - PINPAD|03/15/2019|76677|7974710672547|0|0|MAR2019|2019-03
TELLER - NON PINPAD|03/15/2019|132726|25099860471208|436818|22015309621118|MAR2019|2019-03
TELLER - PINPAD|03/16/2019|0|0|0|0|MAR2019|2019-03
TELLER - NON PINPAD|03/16/2019|0|0|0|0|MAR2019|2019-03
TELLER - PINPAD|03/17/2019|0|0|0|0|MAR2019|2019-03
TELLER - NON PINPAD|03/17/2019|0|0|0|0|MAR2019|2019-03
TELLER - PINPAD|03/18/2019|80458|9015722735159|0|0|MAR2019|2019-03
TELLER - NON PINPAD|03/18/2019|144164|26286196353621|512985|26151971132774|MAR2019|2019-03
TELLER - PINPAD|03/19/2019|67391|7376695675582|0|0|MAR2019|2019-03
TELLER - NON PINPAD|03/19/2019|110386|23420385785222|380184|19984675062814|MAR2019|2019-03
TELLER - PINPAD|03/20/2019|63426|6755080813462|0|0|MAR2019|2019-03
TELLER - NON PINPAD|03/20/2019|110705|21248142898354|365200|18667377173164|MAR2019|2019-03
TELLER - PINPAD|03/21/2019|61750|6893247701687|0|0|MAR2019|2019-03
TELLER - NON PINPAD|03/21/2019|98491|21765907480162|337712|19395923594414|MAR2019|2019-03
TELLER - PINPAD|03/22/2019|72525|7923421454696|0|0|MAR2019|2019-03
TELLER - NON PINPAD|03/22/2019|116161|24982865593647|392079|21440982813648|MAR2019|2019-03
TELLER - PINPAD|03/23/2019|0|0|0|0|MAR2019|2019-03
TELLER - NON PINPAD|03/23/2019|0|0|0|0|MAR2019|2019-03
TELLER - PINPAD|03/24/2019|0|0|0|0|MAR2019|2019-03
TELLER - NON PINPAD|03/24/2019|0|0|0|0|MAR2019|2019-03
TELLER - PINPAD|03/25/2019|84156|9011003958013|0|0|MAR2019|2019-03
TELLER - NON PINPAD|03/25/2019|150511|29141810446626|547439|29146519091068|MAR2019|2019-03
TELLER - PINPAD|03/26/2019|71771|7978291004245|0|0|MAR2019|2019-03
TELLER - NON PINPAD|03/26/2019|115075|26247354639125|406875|22886584956655|MAR2019|2019-03
TELLER - PINPAD|03/27/2019|67566|7458329438921|0|0|MAR2019|2019-03
TELLER - NON PINPAD|03/27/2019|107697|26522816424872|373478|21213188344090|MAR2019|2019-03
TELLER - PINPAD|03/28/2019|71519|8069732240795|0|0|MAR2019|2019-03
TELLER - NON PINPAD|03/28/2019|117186|31218918933141|421329|26733926773477|MAR2019|2019-03
TELLER - PINPAD|03/29/2019|88419|9232096088750|0|0|MAR2019|2019-03
TELLER - NON PINPAD|03/29/2019|143895|32884168006318|542309|26410964739115|MAR2019|2019-03
TELLER - PINPAD|03/30/2019|0|0|0|0|MAR2019|2019-03
TELLER - NON PINPAD|03/30/2019|0|0|0|0|MAR2019|2019-03
TELLER - PINPAD|03/31/2019|0|0|0|0|MAR2019|2019-03
TELLER - NON PINPAD|03/31/2019|0|0|0|0|MAR2019|2019-03
TELLER - PINPAD|04/01/2019|93458|9822041440368|0|0|APR2019|2019-04
TELLER - NON PINPAD|04/01/2019|158655|28189575976967|575885|30740827669543|APR2019|2019-04
TELLER - PINPAD|04/02/2019|77370|8082696212906|0|0|APR2019|2019-04
TELLER - NON PINPAD|04/02/2019|112341|24743622445925|426328|22266336743508|APR2019|2019-04
TELLER - PINPAD|04/03/2019|0|0|0|0|APR2019|2019-04
TELLER - NON PINPAD|04/03/2019|0|0|0|0|APR2019|2019-04
TELLER - PINPAD|04/04/2019|77086|8114294775349|0|0|APR2019|2019-04
TELLER - NON PINPAD|04/04/2019|117347|24841613078387|441712|23785903027931|APR2019|2019-04
TELLER - PINPAD|04/05/2019|81190|8403926641831|0|0|APR2019|2019-04
TELLER - NON PINPAD|04/05/2019|129678|28184832076942|460932|25215802009850|APR2019|2019-04
TELLER - PINPAD|04/06/2019|0|0|0|0|APR2019|2019-04
TELLER - NON PINPAD|04/06/2019|0|0|0|0|APR2019|2019-04
TELLER - PINPAD|04/07/2019|0|0|0|0|APR2019|2019-04
TELLER - NON PINPAD|04/07/2019|0|0|0|0|APR2019|2019-04
TELLER - PINPAD|04/08/2019|87390|9445767158809|0|0|APR2019|2019-04
TELLER - NON PINPAD|04/08/2019|146640|28579914594879|553479|28879338898932|APR2019|2019-04
TELLER - PINPAD|04/09/2019|71521|7865392899344|0|0|APR2019|2019-04
TELLER - NON PINPAD|04/09/2019|115851|25660663155410|429301|21460705550649|APR2019|2019-04
TELLER - PINPAD|04/10/2019|66610|7174151757602|0|0|APR2019|2019-04
TELLER - NON PINPAD|04/10/2019|116265|22752752002627|411963|20219121600594|APR2019|2019-04
TELLER - PINPAD|04/11/2019|64430|6943337983491|0|0|APR2019|2019-04
TELLER - NON PINPAD|04/11/2019|98078|20284440439915|346584|18761798901907|APR2019|2019-04
TELLER - PINPAD|04/12/2019|75282|8258938408408|0|0|APR2019|2019-04
TELLER - NON PINPAD|04/12/2019|119605|25831522474710|408757|22325125778365|APR2019|2019-04
TELLER - PINPAD|04/13/2019|0|0|0|0|APR2019|2019-04
TELLER - NON PINPAD|04/13/2019|0|0|0|0|APR2019|2019-04
TELLER - PINPAD|04/14/2019|0|0|0|0|APR2019|2019-04
TELLER - NON PINPAD|04/14/2019|0|0|0|0|APR2019|2019-04
TELLER - PINPAD|04/15/2019|2956|326856681974|0|0|APR2019|2019-04
TELLER - NON PINPAD|04/15/2019|155577|28642431088355|548112|29997642474274|APR2019|2019-04
TELLER - PINPAD|04/16/2019|77436|8670787551588|0|0|APR2019|2019-04
TELLER - NON PINPAD|04/16/2019|124974|27068464748611|421838|24670569015971|APR2019|2019-04
TELLER - PINPAD|04/17/2019|0|0|0|0|APR2019|2019-04
TELLER - NON PINPAD|04/17/2019|0|0|0|0|APR2019|2019-04
TELLER - PINPAD|04/18/2019|73595|8212628096920|0|0|APR2019|2019-04
TELLER - NON PINPAD|04/18/2019|132160|27931256013471|427376|25232782262827|APR2019|2019-04
TELLER - PINPAD|04/19/2019|0|0|0|0|APR2019|2019-04
TELLER - NON PINPAD|04/19/2019|0|0|0|0|APR2019|2019-04
TELLER - PINPAD|04/20/2019|0|0|0|0|APR2019|2019-04
